timestamp,node_id,tilt_mean,tilt_rate,strain_delta,vib_rms,vib_peak,vib_dominant_freq,crack_status,temp_humidity_index,label
2026-01-01 00:00:00,N1,0.02245,0.0,1.251,0.03191,0.05197,13.25,1,0.5981,0
2026-01-01 00:00:00,N2,0.03217,0.0,0.528,0.01692,0.04905,12.85,1,0.5373,0
2026-01-01 00:00:00,N3,0.03202,0.0,0.397,0.01438,0.03652,14.16,1,0.5702,0
2026-01-01 00:00:00,N4,0.01843,0.0,0.584,0.05402,0.13864,14.81,1,0.5615,0
2026-01-01 00:00:00,N5,0.00446,0.0,0.0,0.02448,0.04086,11.21,1,0.5598,0
2026-01-01 00:05:00,N1,0.02812,0.005669,1.27,0.02702,0.07739,17.23,1,0.6098,0
2026-01-01 00:05:00,N2,0.01609,-0.016084,-0.18,0.02044,0.03321,11.49,1,0.5502,0
2026-01-01 00:05:00,N3,0.01542,-0.016592,0.795,0.01115,0.02881,10.14,1,0.5468,0
2026-01-01 00:05:00,N4,0.02372,0.005286,0.031,0.02897,0.04684,14.85,1,0.5978,0
2026-01-01 00:05:00,N5,0.02817,0.023706,0.432,0.01788,0.03613,17.29,1,0.575,0
2026-01-01 00:10:00,N1,0.02018,-0.007941,0.506,0.02692,0.07969,10.16,1,0.5858,0
2026-01-01 00:10:00,N2,0.01787,0.001783,0.467,0.0193,0.03914,12.65,1,0.5665,0
2026-01-01 00:10:00,N3,0.03061,0.015184,0.08,0.03232,0.08158,11.49,1,0.5924,0
2026-01-01 00:10:00,N4,0.00938,-0.014341,1.168,0.03212,0.05609,10.91,1,0.6011,0
2026-01-01 00:10:00,N5,0.02208,-0.00609,0.545,0.01457,0.02381,16.25,1,0.5787,0
2026-01-01 00:15:00,N1,0.05127,0.031091,0.644,0.01591,0.02559,10.1,1,0.5715,0
2026-01-01 00:15:00,N2,0.02209,0.004218,-0.047,0.03965,0.08176,8.5,1,0.5874,0
2026-01-01 00:15:00,N3,0.01539,-0.015216,0.074,0.02267,0.06637,17.49,1,0.6073,0
2026-01-01 00:15:00,N4,0.01686,0.007488,1.243,0.03842,0.08517,8.52,1,0.5679,0
2026-01-01 00:15:00,N5,0.02917,0.007092,0.139,0.02916,0.08318,9.65,1,0.6192,0
2026-01-01 00:20:00,N1,0.01982,-0.031454,-0.664,0.03371,0.09295,8.27,1,0.5855,0
2026-01-01 00:20:00,N2,0.02959,0.007504,0.678,0.02076,0.05552,13.95,1,0.5756,0
2026-01-01 00:20:00,N3,0.02952,0.014122,0.85,0.02526,0.04776,15.65,1,0.6174,0
2026-01-01 00:20:00,N4,0.0253,0.008439,2.097,0.01253,0.01905,17.29,1,0.6024,0
2026-01-01 00:20:00,N5,0.03154,0.002367,1.066,0.02629,0.07152,12.84,1,0.6181,0
2026-01-01 00:25:00,N1,0.01019,-0.009625,0.045,0.02124,0.04526,11.25,1,0.6083,0
2026-01-01 00:25:00,N2,0.04861,0.019017,0.001,0.01136,0.02137,13.81,1,0.5954,0
2026-01-01 00:25:00,N3,0.00926,-0.020257,0.946,0.02599,0.06213,16.5,1,0.6091,0
2026-01-01 00:25:00,N4,0.03027,0.004963,0.411,0.03494,0.05862,8.81,1,0.5907,0
2026-01-01 00:25:00,N5,0.0254,-0.006134,1.908,0.01806,0.02965,13.25,1,0.6187,0
2026-01-01 00:30:00,N1,0.03554,0.025346,-0.004,0.01219,0.02411,16.39,1,0.6092,0
2026-01-01 00:30:00,N2,0.01927,-0.029338,-0.835,0.00158,0.00341,11.66,1,0.5895,0
2026-01-01 00:30:00,N3,0.03033,0.021075,0.672,0.03067,0.05131,10.46,1,0.6158,0
2026-01-01 00:30:00,N4,0.02495,-0.005321,-0.491,0.01573,0.0438,17.32,1,0.5827,0
2026-01-01 00:30:00,N5,0.00615,-0.019249,0.776,0.03802,0.07179,14.12,1,0.6211,0
2026-01-01 00:35:00,N1,0.03764,0.002105,0.129,0.02353,0.05921,10.56,1,0.6525,0
2026-01-01 00:35:00,N2,0.02258,0.003306,-0.524,0.02786,0.05689,13.76,1,0.6282,0
2026-01-01 00:35:00,N3,0.01475,-0.015588,0.95,0.04492,0.09258,9.86,1,0.6096,0
2026-01-01 00:35:00,N4,0.02723,0.002285,0.567,0.01429,0.03019,10.71,1,0.6244,0
2026-01-01 00:35:00,N5,0.048,0.041853,0.236,0.03853,0.06497,17.71,1,0.6166,0
2026-01-01 00:40:00,N1,0.02787,-0.009773,1.188,0.02513,0.04961,16.42,1,0.6084,0
2026-01-01 00:40:00,N2,0.01535,-0.007231,0.597,0.02156,0.05879,17.0,1,0.6199,0
2026-01-01 00:40:00,N3,0.0338,0.019053,1.331,0.02507,0.05162,11.8,1,0.6135,0
2026-01-01 00:40:00,N4,0.01296,-0.014267,0.932,0.03836,0.08074,16.69,1,0.5942,0
2026-01-01 00:40:00,N5,0.01474,-0.033263,0.369,0.01339,0.03765,16.19,1,0.6165,0
2026-01-01 00:45:00,N1,0.02457,-0.003298,1.518,0.03846,0.06406,13.64,1,0.6005,0
2026-01-01 00:45:00,N2,0.02039,0.005042,-0.802,0.01429,0.02669,17.68,1,0.6219,0
2026-01-01 00:45:00,N3,0.02322,-0.010582,0.119,0.01181,0.02056,17.38,1,0.646,0
2026-01-01 00:45:00,N4,0.03848,0.025517,1.223,0.02541,0.04494,13.73,1,0.6482,0
2026-01-01 00:45:00,N5,0.02686,0.012115,1.904,0.03086,0.05931,16.57,1,0.6349,0
2026-01-01 00:50:00,N1,0.01583,-0.008736,0.983,0.03357,0.08549,9.83,1,0.6336,0
2026-01-01 00:50:00,N2,0.02368,0.003293,0.679,0.04633,0.10986,13.53,1,0.6177,0
2026-01-01 00:50:00,N3,0.01684,-0.006375,0.475,0.0329,0.05409,9.1,1,0.6089,0
2026-01-01 00:50:00,N4,0.02826,-0.010224,2.018,0.00576,0.01491,13.4,1,0.6257,0
2026-01-01 00:50:00,N5,0.00815,-0.018709,0.427,0.02725,0.07343,9.19,1,0.6149,0
2026-01-01 00:55:00,N1,0.00658,-0.009252,0.237,0.01512,0.03757,9.3,1,0.6275,0
2026-01-01 00:55:00,N2,0.01536,-0.008325,-0.815,0.03486,0.07263,8.63,1,0.6173,0
2026-01-01 00:55:00,N3,0.03146,0.014621,-0.669,0.03482,0.06319,12.75,1,0.6121,0
2026-01-01 00:55:00,N4,0.01247,-0.015784,0.107,0.00258,0.00642,17.93,1,0.6196,0
2026-01-01 00:55:00,N5,0.0405,0.032352,0.903,0.00767,0.01359,12.02,1,0.5967,0
2026-01-01 01:00:00,N1,0.0338,0.027217,-0.1,0.03539,0.09492,14.85,1,0.636,0
2026-01-01 01:00:00,N2,0.0262,0.01084,0.979,0.01993,0.03501,11.73,1,0.6362,0
2026-01-01 01:00:00,N3,0.04029,0.008829,-0.428,0.03761,0.10971,11.86,1,0.6159,0
2026-01-01 01:00:00,N4,0.03153,0.019056,-0.233,0.03092,0.07745,15.42,1,0.6465,0
2026-01-01 01:00:00,N5,0.02765,-0.012847,0.722,0.02269,0.05426,17.45,1,0.6401,0
2026-01-01 01:05:00,N1,0.01465,-0.01915,0.571,0.00096,0.00225,10.29,1,0.6177,0
2026-01-01 01:05:00,N2,0.0184,-0.007793,0.288,0.01012,0.02954,9.8,1,0.6278,0
2026-01-01 01:05:00,N3,0.02086,-0.019432,0.045,0.00524,0.0123,17.67,1,0.6516,0
2026-01-01 01:05:00,N4,0.01826,-0.013265,0.287,0.02128,0.05789,13.8,1,0.6307,0
2026-01-01 01:05:00,N5,0.02831,0.000659,2.516,0.01171,0.03058,11.07,1,0.6656,0
2026-01-01 01:10:00,N1,0.02618,0.01153,0.736,0.02917,0.07867,17.29,1,0.6479,0
2026-01-01 01:10:00,N2,0.05533,0.036924,1.44,0.02703,0.04383,14.06,1,0.6401,0
2026-01-01 01:10:00,N3,0.01281,-0.008054,-0.863,0.02369,0.03695,11.78,1,0.6322,0
2026-01-01 01:10:00,N4,0.02264,0.004374,0.572,0.02925,0.0808,13.22,1,0.6465,0
2026-01-01 01:10:00,N5,0.02845,0.000137,1.355,0.02769,0.08261,9.2,1,0.634,0
2026-01-01 01:15:00,N1,0.03043,0.004251,0.323,0.01812,0.02738,16.13,1,0.6501,0
2026-01-01 01:15:00,N2,0.0246,-0.030727,0.848,0.03751,0.07904,13.41,1,0.6598,0
2026-01-01 01:15:00,N3,0.0124,-0.000405,-0.055,0.04787,0.14067,17.46,1,0.6333,0
2026-01-01 01:15:00,N4,0.00878,-0.01386,0.522,0.03207,0.09532,8.27,1,0.6552,0
2026-01-01 01:15:00,N5,0.0265,-0.001944,0.77,0.01645,0.03823,16.22,1,0.6726,0
2026-01-01 01:20:00,N1,0.01426,-0.016165,-0.027,0.01096,0.02908,16.2,1,0.676,0
2026-01-01 01:20:00,N2,0.02376,-0.000839,1.447,0.03531,0.0892,12.59,1,0.6754,0
2026-01-01 01:20:00,N3,0.01546,0.003063,-0.983,0.03027,0.08876,15.96,1,0.6388,0
2026-01-01 01:20:00,N4,0.05229,0.043513,-0.1,0.0197,0.04109,13.39,1,0.6338,0
2026-01-01 01:20:00,N5,0.01496,-0.011541,-0.196,0.02239,0.05875,14.2,1,0.6514,0
2026-01-01 01:25:00,N1,0.03236,0.018093,0.992,0.0132,0.02848,8.49,1,0.6792,0
2026-01-01 01:25:00,N2,0.01572,-0.008043,0.758,0.02019,0.05546,8.29,1,0.6974,0
2026-01-01 01:25:00,N3,0.04533,0.029862,1.338,0.02482,0.06388,13.05,1,0.6666,0
2026-01-01 01:25:00,N4,0.03541,-0.016879,0.831,0.01018,0.02147,9.96,1,0.6454,0
2026-01-01 01:25:00,N5,0.0226,0.007637,1.606,0.0241,0.05645,14.6,1,0.6554,0
2026-01-01 01:30:00,N1,0.03617,0.003807,1.071,0.03965,0.0935,10.42,1,0.677,0
2026-01-01 01:30:00,N2,0.02024,0.004522,1.04,0.03018,0.06583,15.71,1,0.654,0
2026-01-01 01:30:00,N3,0.04442,-0.000903,1.179,0.00863,0.02468,13.51,1,0.698,0
2026-01-01 01:30:00,N4,0.01904,-0.016368,0.571,0.02933,0.05441,11.26,1,0.6556,0
2026-01-01 01:30:00,N5,0.00982,-0.012777,0.752,0.00713,0.0165,11.37,1,0.6729,0
2026-01-01 01:35:00,N1,0.01808,-0.018085,-0.55,0.02952,0.08366,12.21,1,0.6877,0
2026-01-01 01:35:00,N2,0.03424,0.014002,0.205,0.0198,0.03134,15.34,1,0.6488,0
2026-01-01 01:35:00,N3,0.02643,-0.01799,0.75,0.0346,0.05386,11.06,1,0.6565,0
